codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
55300,45.2V,34,48.883333,5.716667
55300,45.2V,34,48.816667,5.533333
55300,45.2V,34,48.916667,5.516667
55300,45.2V,34,48.866667,5.666667
55300,45.2V,34,48.9,5.5
55300,45.2V,34,48.966667,5.583333
55300,45.2V,34,48.883333,5.783333
55300,45.2V,34,48.966667,5.516667
55300,45.2V,34,48.85,5.5
55300,45.2V,34,48.85,5.483333
55300,45.2V,34,48.866667,5.533333
55300,45.2V,34,49,5.583333
55300,45.2V,34,48.933333,5.483333
55300,45.2V,34,48.9,5.516667
55300,45.2V,34,48.916667,5.666667
55300,45.2V,34,48.983333,5.45
55300,45.2V,34,48.85,5.716667
55300,45.2V,34,48.866667,5.5
55300,45.2V,34,48.95,5.5
55300,45.2V,34,48.85,5.633333
55300,85.51Z,34,49.016667,5.45
55300,85.51Z,34,48.866667,5.75
55300,85.51Z,34,48.966667,5.466667
55300,85.51Z,34,49.016667,5.533333
55300,85.51Z,34,48.866667,5.65
55300,85.51Z,34,"",""
55300,85.51Z,34,"",""
55300,85.51Z,34,48.983333,5.566667
55300,85.51Z,34,48.833333,5.516667
55300,85.51Z,34,48.9,5.55
55300,85.51Z,34,48.95,5.516667
55300,85.51Z,34,48.883333,5.766667
55300,85.51Z,34,49.016667,5.5
55300,85.51Z,34,48.833333,5.75
55300,85.51Z,34,48.883333,5.716667
55300,85.51Z,34,48.816667,5.533333
55300,85.51Z,34,48.916667,5.516667
55300,85.51Z,34,48.866667,5.666667
55300,85.51Z,34,48.9,5.5
55300,85.51Z,34,48.966667,5.583333
55300,85.51Z,34,48.883333,5.783333
55300,85.51Z,34,48.966667,5.516667
55300,85.51Z,34,48.85,5.5
55300,85.51Z,34,48.85,5.483333
55300,85.51Z,34,48.866667,5.533333
55300,85.51Z,34,49,5.583333
55300,85.51Z,34,48.933333,5.483333
55300,85.51Z,34,48.9,5.516667
55300,85.51Z,34,48.916667,5.666667
55300,85.51Z,34,48.983333,5.45
55300,85.51Z,34,48.85,5.716667
55300,85.51Z,34,48.866667,5.5
55300,85.51Z,34,48.95,5.5
55300,85.51Z,34,48.85,5.633333
55300,68.20B,204,49.016667,5.45
55300,68.20B,204,48.866667,5.75
55300,68.20B,204,48.966667,5.466667
55300,68.20B,204,49.016667,5.533333
55300,68.20B,204,48.866667,5.65
55300,68.20B,204,"",""
55300,68.20B,204,"",""
55300,68.20B,204,48.983333,5.566667
55300,68.20B,204,48.833333,5.516667
55300,68.20B,204,48.9,5.55
55300,68.20B,204,48.95,5.516667
55300,68.20B,204,48.883333,5.766667
55300,68.20B,204,49.016667,5.5
55300,68.20B,204,48.833333,5.75
55300,68.20B,204,48.883333,5.716667
55300,68.20B,204,48.816667,5.533333
55300,68.20B,204,48.916667,5.516667
55300,68.20B,204,48.866667,5.666667
55300,68.20B,204,48.9,5.5
55300,68.20B,204,48.966667,5.583333
55300,68.20B,204,48.883333,5.783333
55300,68.20B,204,48.966667,5.516667
55300,68.20B,204,48.85,5.5
55300,68.20B,204,48.85,5.483333
55300,68.20B,204,48.866667,5.533333
55300,68.20B,204,49,5.583333
55300,68.20B,204,48.933333,5.483333
55300,68.20B,204,48.9,5.516667
55300,68.20B,204,48.916667,5.666667
55300,68.20B,204,48.983333,5.45
55300,68.20B,204,48.85,5.716667
55300,68.20B,204,48.866667,5.5
55300,68.20B,204,48.95,5.5
55300,68.20B,204,48.85,5.633333
